gene_id,log2FoldChange,pvalue
ACSBG1,0.150108814,0.731596782
ACSBG2,-0.398038682,0.026505882
ACSF2,0.070911793,0.392259713
ACSF3,-0.039421882,0.529745828
ACSL1,0.080041088,0.071788821
ACSL3,-0.092564025,0.007827192
ACSL4,0.114703873,0.000146221
ACSL5,-0.304828515,0.000489841
ACSM3,-0.06139378,0.730004902
ACSM4,0.75395611,0.638923422
ACSM6,-1.93050425,0.200604412
ACSS1,-1.041679374,0.798503768
ACSS2,1.185265672,4.3853E-220
ACTA1,2.779692491,0.176750853
ACTA2,-1.48858606,1.54874E-11
ACTB,-0.151030907,0.012219346
ACTBL2,-0.079896768,0.982747126
ACTC1,0.472848737,0.629771967
ACTG1,-0.328476636,9.71119E-21
ACTG2,0.540802369,0.276673903
ACTL10,-0.221277264,0.222758831
ACTL6A,0.195157732,2.41254E-06
ACTL6B,1.325061548,0.392121609
ACTL7A,0.080583875,0.918915028
ACTL7B,-0.067749825,0.978404806
ACTL8,-0.168390802,0.844080044
ACTN1,0.240791417,7.34567E-14
ACTN3,1.31065115,4.9018E-05
ACTN4,-0.029946021,0.423417566
ACTR10,-0.002741593,0.967252432
ACTR1A,0.231125379,8.98277E-07
ACTR1B,-0.156433276,0.005583006
ACTR2,0.052531623,0.103005377
ACTR3,0.006818509,0.830940167
ACTR3B,-0.55661924,2.87799E-20
ACTR3C,0.489213347,5.58431E-11
ACTR5,-0.050755761,0.617383481
ACTR6,0.022020807,0.750075309
ACTR8,0.194324478,9.26609E-06
ACTRT3,-1.070264379,0.000238824
ACVR1,0.102983843,0.421392896
ACVR1B,0.151530485,0.017167426
ACVR1C,-2.240391917,0.182212
ACVR2A,-0.161642374,0.195898857
ACVR2B,-0.138791499,0.02296326
ACVRL1,0.525536864,0.481001821
ACY1,-0.000645259,0.99903425
ACY3,2.627373927,0.220044757
ACYP1,0.486121654,0.000158252
ACYP2,-0.3488694,0.027250503
ADA,0.186364437,0.007713903
ADA2,0.481550445,0.713765481
ADAD2,-0.079896533,0.982511594
ADAL,-0.292399425,0.002023775
ADAM10,0.231325913,2.04478E-10
ADAM11,-0.095970724,0.439599689
ADAM12,-0.680784412,0.172937225
ADAM15,0.2903796,4.74861E-18
ADAM17,0.317410998,4.65497E-16
ADAM20,0.23544378,0.051635897
ADAM21,-1.644926758,0.012927137
ADAM22,0.484222284,0.000418758
ADAM23,0.037869929,0.827789209
ADAM28,-2.301420652,0.281208798
ADAM30,0.881873978,0.828893793
ADAM32,-0.888688735,0.06450713
ADAM33,0.345016324,0.801045137
ADAM8,0.56714129,0.000367613
ADAM9,-0.138115773,4.72717E-05
ADAMTS1,-0.016924958,0.830944735
ADAMTS10,-0.75558432,2.53391E-07
ADAMTS13,-0.33682279,0.110833479
ADAMTS14,0.092249302,0.687085786
ADAMTS15,0.689984848,6.49198E-08
ADAMTS16,1.89852102,0.004227794
ADAMTS17,-0.793939046,0.524310572
ADAMTS2,-0.07989644,0.982415025
ADAMTS20,-0.07989646,0.982436139
ADAMTS3,-0.049531103,0.978719551
ADAMTS4,0.149671012,0.601460928
ADAMTS5,-1.09727051,1.81967E-55
ADAMTS6,-0.878689096,2.15083E-07
ADAMTS7,-0.588231574,0.010487175
ADAMTS8,-1.544845345,0.247450121
ADAMTS9,-0.217795554,0.428797506
ADAMTSL1,-1.062435039,0.569944178
ADAMTSL2,-1.561937999,0.011432625
ADAMTSL4,0.220597292,2.58866E-14
ADAMTSL5,-0.001633761,0.988156387
ADAP1,0.408355909,0.00519274
ADAP2,0.448382514,0.434084582
ADAR,0.0148661,0.600487389
ADARB1,-0.060649344,0.154391216
ADARB2,-1.048832094,4.1628E-105
ADAT1,-0.393709812,1.47451E-09
ADAT2,-0.242411652,1.0278E-05
ADAT3,-0.343482463,0.100287362
ADCK1,-1.238105223,1.47141E-15
ADCK2,-0.191445752,0.019292528
ADCK5,-0.162997559,0.25785041
ADCY1,0.529924834,0.140219201
ADCY10,-0.670807479,0.009093031
ADCY3,0.345250505,5.78505E-13
ADCY4,0.395955702,0.590579098
ADCY5,0.606049457,0.040271931
ADCY6,0.508212204,3.02018E-20
ADCY7,0.015442294,0.797126376
ADCY8,-1.041679374,0.798503768
ADCY9,-0.11834862,0.005538824
ADCYAP1,-2.019940282,0.434677069
ADCYAP1R1,0.881873978,0.828893793
ADD1,-0.227799285,2.04773E-07
ADD2,-2.503538802,0.45096126
ADD3,-0.096307183,0.034185873
ADGB,0.881873978,0.828893793
ADGRA2,-0.205552708,0.016060147
ADGRA3,-0.239377046,1.38633E-08
ADGRB1,-1.918697407,0.623335873
ADGRB2,1.062220825,3.37156E-12
ADGRB3,-1.041679374,0.798503768
ADGRD1,-2.301156818,0.03307592
ADGRD2,-0.649044862,2.45009E-08
ADGRE1,0.906279265,0.0005114
ADGRE2,-0.263554589,0.000161644
ADGRE5,-0.030752074,0.490499442
ADGRF1,0.881873978,0.828893793
ADGRF2,-1.041679374,0.798503768
ADGRF3,0.063937427,0.727755555
ADGRF5,-0.079896277,0.98224308
ADGRG1,-0.273295671,3.85845E-07
ADGRG2,-0.822455025,0.001943699
ADGRG3,0.47734295,0.1083441
ADGRG4,0.881873978,0.828893793
ADGRG5,-0.728509568,0.381536993
ADGRG6,0.042650007,0.201653636
ADGRG7,1.831258622,0.638899404
ADGRL1,0.093172424,0.049188722
ADGRL2,-0.129757846,0.762658256
ADGRL3,1.70825075,0.672735719
ADGRL4,-1.041679374,0.798503768
ADGRV1,0.29094082,0.754989326
ADH1A,-2.49886886,0.413149063
ADH1B,0.881873978,0.828893793
ADH4,-1.39735751,0.485899161
ADH5,0.142075302,0.00070874
ADH6,-0.683491996,0.678706115
ADHFE1,-1.117234793,0.006164091
ADI1,-0.039127922,0.393411702
ADIG,1.188071931,0.558135881
ADIPOR1,0.257130232,8.2768E-11
ADIPOR2,0.094322065,0.006264093
ADIRF,0.214448853,0.01513304
ADK,-0.272982466,2.40549E-10
ADM,1.158151961,2.20768E-27
ADM2,-0.323216958,0.362916246
ADM5,-0.346120003,0.101401457
ADNP,-0.288149788,4.49862E-20
ADNP2,-0.15146197,0.001278062
ADO,-0.035844103,0.622834469
ADORA1,1.380765731,0.001904537
ADORA2A,0.558235899,0.263968569
ADORA2B,0.201297986,0.20208798
ADPGK,-0.027660031,0.55034593
ADPRHL1,-0.074555105,0.246151688
ADPRM,-0.166050068,0.290493073
ADPRS,0.208936234,0.015312196
ADRA1A,-1.041679374,0.798503768
ADRA1D,-0.114775982,0.948553593
ADRA2A,-1.041679374,0.798503768
ADRA2B,-1.041679374,0.798503768
ADRA2C,-0.399765018,0.000785672
ADRB1,0.124095837,0.752733908
ADRB2,0.380610887,0.043779692
ADRM1,0.372280558,8.69504E-16
ADSL,-0.257532542,6.31942E-09
ADSS1,-0.00891427,0.945297231
ADSS2,-0.674840563,2.13894E-43
ADTRP,-1.496150313,2.5881E-07
AEBP1,-0.803274481,0.001883187
AEBP2,-0.205716084,1.27347E-06
AEN,-0.244855207,8.30878E-07
AFAP1,-0.022954696,0.491085413
AFAP1L1,0.284876687,1.65003E-05
AFAP1L2,-1.270337122,0.05872608
AFDN,-0.019688046,0.592208103
AFF1,-0.400404196,2.95349E-33
AFF4,-0.094116414,0.000963995
AFG1L,-0.524412837,0.000259554
AFG3L2,-0.254501751,6.81484E-12
AFMID,-0.187025352,0.019044463
AFTPH,0.194518016,0.000111093
AGA,-0.199017947,0.112278923
AGAP1,-0.218419093,0.00022062
AGAP2,-0.132399804,0.396704613
AGAP3,0.069458029,0.081581084
AGAP4,-0.196139267,0.032147715
AGAP5,-1.00349286,9.10744E-07
AGAP6,-0.375078815,2.70019E-06
AGAP9,0.122385841,0.546000596
AGBL1,-1.041679374,0.798503768
AGBL2,-0.394750481,0.331306177
AGBL3,-0.005236835,0.978539919
AGBL4,-0.823762589,0.140475261
AGBL5,0.175491376,1.30906E-05
AGER,-0.301765984,0.008129739
AGFG1,0.450518832,9.66459E-31
AGFG2,0.430392288,1.15177E-08
AGGF1,-0.232011699,2.055E-05
AGK,0.082920361,0.08278776
AGL,-0.397217218,6.27709E-30
AGMAT,-0.081524365,0.497058232
AGO1,-0.007777317,0.83791461
AGO2,-0.096344385,0.000409226
AGO3,0.054067566,0.238104957
AGO4,-0.389705273,8.60537E-08
AGPAT1,0.226340318,4.49377E-06
AGPAT2,0.522207335,9.57323E-15
AGPAT3,-0.173625147,0.001077746
AGPAT4,-0.351693128,9.33963E-05
AGPAT5,0.005802879,0.931648462
AGPS,-0.373765876,4.01013E-26
AGR2,-0.722861191,0.196719419
AGR3,-0.079896277,0.98224308
AGRN,0.062428493,0.054225059
AGRP,0.486602421,0.369059039
AGT,0.37134809,0.814387851
AGTPBP1,0.080813431,0.100484497
AGTR2,-0.335367629,0.780792476
AGTRAP,0.513808453,1.20673E-18
AGXT,1.655036767,9.11306E-05
AGXT2,1.811627897,0.614657664
AHCTF1,-0.020553557,0.497565703
AHCY,0.044997972,0.188215919
AHCYL1,0.271442658,4.02165E-25
AHCYL2,0.112455333,0.040627443
AHDC1,0.086828784,0.141958519
AHI1,0.063524114,0.132961854
AHNAK,-0.30065775,3.53929E-23
AHNAK2,-1.039400392,5.9691E-212
AHR,0.288977083,2.50498E-07
AHRR,-0.598269484,2.96094E-08
AHSA1,0.021369093,0.661559274
AIDA,0.204833583,5.37807E-05
AIF1,2.416559432,0.466678449
AIF1L,0.18720934,0.000537646
AIFM1,-0.079432514,0.056628655
AIFM2,0.432844197,0.000130318
AIFM3,-0.294606392,0.667788669
AIG1,-0.123946957,0.123172995
AIM2,-1.94715413,0.58341654
AIMP1,-0.187414448,0.000243711
AIMP2,-0.747113979,1.9105E-12
AIP,0.460671802,4.1771E-19
AIRE,0.996177798,0.384418856
AJAP1,-0.129520303,0.950930405
AJM1,0.098813737,0.381611717
AJUBA,-0.375446232,1.87986E-17
AK1,0.424693457,5.61499E-10
AK2,0.065851571,0.019225229
AK3,-0.165285544,0.002110267
AK4,0.107679935,0.001497833
AK5,-0.611071917,0.081573393
AK6,0.145156349,0.217281929
AK7,0.683332315,2.33686E-18
AK8,-1.682267568,0.004175667
AK9,-1.400675408,3.60862E-07
AKAP1,-0.108309504,0.011615215
AKAP10,0.118194794,0.043602161
AKAP11,-0.064567519,0.107605993
AKAP12,0.850523336,1.59969E-05
AKAP13,-0.067175558,0.074117343
AKAP14,-0.702080038,0.757899266
AKAP3,-0.587689227,0.375627562
AKAP5,-0.145861987,0.273731481
AKAP6,-1.975458993,6.00941E-23
AKAP7,-0.555225404,4.38094E-08
AKAP8,0.095915596,0.198592315
AKAP8L,0.321902544,6.09608E-11
AKAP9,-0.270453959,2.38947E-11
AKIP1,0.283950206,0.000201465
AKIRIN1,0.141564763,0.004372869
AKIRIN2,0.060519943,0.429211488
AKNA,-0.02907469,0.783590026
AKNAD1,0.197120434,0.761446055
AKR1A1,0.164911055,1.35806E-05
AKR1B1,1.166941708,3.5204E-180
AKR1B10,1.575885864,0.022969925
AKR1B15,0.129984785,0.905753512
AKR1C1,2.193246946,1.0511E-43
AKR1C2,2.690389259,2.51296E-08
AKR1C3,2.021875378,1.6878E-120
AKR7A2,0.244255393,2.8469E-06
AKR7A3,-1.926724195,1.04262E-07
AKT1,0.198353314,5.49693E-09
AKT1S1,-0.155685794,0.010687348
AKT2,0.022931638,0.615908288
AKT3,0.220782922,0.195078702
AKTIP,0.37885063,4.12212E-05
ALAD,0.204379237,0.000777906
ALAS1,0.468432811,7.00889E-21
ALAS2,0.522835367,0.150292642
ALCAM,0.121718346,0.003190333
ALDH16A1,-0.214371957,0.002085986
ALDH18A1,0.20696781,7.45373E-09
ALDH1A1,-1.041679374,0.798503768
ALDH1A2,-1.94715413,0.58341654
ALDH1A3,0.076912658,0.374582445
ALDH1B1,-0.237349926,1.85229E-06
ALDH1L1,-3.253897488,0.199182306
ALDH1L2,-0.778494685,1.9708E-99
ALDH2,0.268109746,0.267887061
ALDH3A1,1.124035437,1.86484E-11
ALDH3A2,0.380983275,2.98102E-22
ALDH3B1,-0.441092308,3.99932E-23
ALDH3B2,1.70825075,0.672735719
ALDH4A1,0.208777596,0.067464164
ALDH5A1,-0.166378141,0.012762265
ALDH6A1,-0.036968781,0.54934875
ALDH7A1,-0.207794484,9.58345E-08
ALDH8A1,0.361858303,0.494019446
ALDH9A1,0.038258227,0.435887345
ALDOA,0.543770265,1.88243E-06
ALDOB,-1.671423173,0.263782391
ALDOC,1.045455576,2.1548E-106
ALG1,-0.219492547,0.009299211
ALG10,-0.229780282,1.91538E-05
ALG10B,-0.321247735,1.15209E-07
ALG11,-0.044614305,0.711635821
ALG12,0.44980278,8.90306E-09
ALG13,-0.13436834,0.010602965
ALG14,-0.474894303,2.66294E-07
ALG1L2,-0.788430064,0.142876157
ALG2,0.140297108,0.009086425
ALG3,0.40266095,9.3864E-19
ALG5,-0.023072299,0.761705322
ALG6,-0.241965164,0.00413423
ALG8,-0.630856938,1.02256E-30
ALG9,-0.434717314,3.06577E-17
ALK,-0.800862065,0.559951985
ALKAL2,0.128598523,0.645717288
ALKBH1,0.259541669,0.005972258
ALKBH2,-0.190863733,0.054759438
ALKBH3,0.076483644,0.503581343
ALKBH4,0.216575278,0.252250297
ALKBH5,0.370531652,6.84823E-24
ALKBH6,0.538160639,5.93368E-05
ALKBH7,0.188752802,0.086756349
ALKBH8,-0.275417927,0.000134681
ALLC,-1.078145341,0.613463883
ALMS1,0.01567777,0.691624679
ALOX12,0.187440577,0.01404213
ALOX12B,0.1756706,0.17311122
ALOX15,0.793419005,0.786755452
ALOX15B,1.668094844,4.90681E-07
ALOX5,0.543251725,0.367392307
ALOX5AP,-1.545009002,1.8489E-05
ALOXE3,-0.169058814,0.386777114
ALPG,0.809624843,0.053150248
ALPI,-0.458946361,5.57301E-44
ALPK1,0.24912986,0.001241809
ALPK2,-0.237959404,0.15013508
ALPK3,0.345857677,0.331098411
ALPL,1.334013486,0.397628935
ALPP,0.102990026,0.004795143
ALS2,0.107615176,0.085389239
ALS2CL,-0.098836788,0.076501381
ALX1,-0.174264733,0.373466832
ALX3,-0.116373516,0.347864726
ALX4,0.112117004,0.588815474
ALYREF,0.10951612,0.070966833
AMACR,-0.612038019,6.65777E-08
AMBP,0.41435237,0.650452833
AMBRA1,0.036877026,0.469542171
AMD1,-0.277071048,1.01629E-10
AMDHD1,-0.132928477,0.84739864
AMDHD2,-0.276075438,0.002694803
AMELX,-1.036960351,0.570662064
AMER1,-0.418006506,1.47448E-07
AMFR,0.101755386,0.07633406
AMH,0.120101395,0.34898824
AMHR2,0.642605082,0.038131416
AMIGO1,-0.481257205,5.70175E-05
AMIGO2,-0.620056177,0.004114271
AMIGO3,0.088711232,0.554176232
AMMECR1,-0.138225645,0.046862634
AMMECR1L,-0.105494443,0.069643141
AMN,-0.513466416,0.003120161
AMN1,0.646231648,9.11489E-05
AMOTL1,0.254165442,1.53109E-13
AMOTL2,-0.140189007,0.032320033
AMPD1,-2.501510583,0.412296354
AMPD2,0.163511263,0.000103008
AMPD3,0.635541677,4.1979E-09
AMT,-0.093456105,0.493608627
AMTN,1.392893076,0.319756394
AMY2B,0.107770703,0.684602511
AMZ1,0.125164409,0.09734065
AMZ2,-0.178743546,0.000377698
ANAPC1,-0.18603193,1.44597E-07
ANAPC10,-0.109547185,0.309286064
ANAPC11,0.415388809,3.2975E-07
ANAPC13,-0.155740605,0.039069604
ANAPC15,-0.289924945,0.015649619
ANAPC16,-0.125402982,0.019661641
ANAPC2,-0.060295124,0.421127426
ANAPC4,-0.21411942,0.003776379
ANAPC5,-0.103557872,0.001124059
ANAPC7,-0.013377887,0.724907131
ANG,0.799650795,1.57945E-17
ANGEL1,-0.227614646,0.000104524
ANGEL2,-0.712760949,2.45273E-25
ANGPT1,-1.911506926,0.001483777
ANGPT2,0.093898525,0.610379433
ANGPT4,-1.411673374,0.466670803
ANGPTL1,0.125672568,0.560975002
ANGPTL2,0.236815997,0.261814966
ANGPTL3,0.084567198,0.77652439
ANGPTL4,-1.014638057,0.062896047
ANGPTL5,0.10464564,0.84404099
ANGPTL6,0.295057825,0.658292011
ANGPTL7,0.685119618,0.000199136
ANGPTL8,0.566066039,0.181405829
ANHX,0.881873978,0.828893793
ANK1,-0.276560225,0.039073817
ANK2,-0.084148112,0.297178828
ANK3,1.031253499,0.000980407
ANKAR,-0.700191882,0.00068551
ANKDD1A,-1.293192847,6.15722E-05
ANKDD1B,0.427740638,0.503896029
ANKEF1,-0.479610873,5.78736E-08
ANKFN1,1.178006001,0.360908292
ANKFY1,-0.242096682,9.48281E-13
ANKH,-0.294134851,1.02429E-11
