id,HC-1,HC-2,HC-3,HT-1,HT-2,HT-3
ACLY,25620,28796,29694,34422,36878,35329
ACMSD,11,17,9,11,7,7
ACO1,2284,2738,2517,4030,4546,4422
ACO2,2094,2196,2325,2592,2702,2460
ACOD1,1,0,0,4,0,0
ACOT1,108,122,105,56,70,62
ACOT11,99,101,99,63,68,73
ACOT12,31,36,30,29,26,41
ACOT13,2201,2327,2376,2473,2742,2699
ACOT2,557,533,593,402,432,338
ACOT4,1,0,2,1,0,0
ACOT6,3,1,2,1,1,0
ACOT7,874,1007,1019,1108,1308,1088
ACOT8,327,394,308,432,528,393
ACOT9,4267,4762,4692,4430,5102,4494
ACOX1,4350,4585,4759,4907,5426,4917
ACOX2,1,3,2,0,6,1
ACOX3,460,605,502,380,479,467
ACOXL,144,170,130,128,150,135
ACP1,3673,4130,4263,3848,4227,4066
ACP2,724,754,837,903,946,893
ACP3,0,0,0,0,0,0
ACP4,184,183,164,247,221,231
ACP5,47,13,30,11,13,6
ACP6,1509,1536,1548,1274,1424,1397
ACP7,1,2,0,1,2,1
ACR,3,2,10,2,6,5
ACRBP,39,24,30,30,36,25
ACRV1,178,181,185,124,153,151
ACSBG1,22,18,22,17,26,30
ACSBG2,171,170,149,107,160,128
ACSF2,654,659,726,769,778,716
ACSF3,1596,1671,1665,1757,1784,1531
ACSL1,3104,3479,3377,3429,3874,3826
ACSL3,7472,7892,7489,7067,7942,7663
ACSL4,7646,8236,8204,8827,9586,9153
ACSL5,674,638,669,546,616,536
ACSL6,0,0,0,0,0,0
ACSM1,0,0,0,0,0,0
ACSM2A,0,0,0,0,0,0
ACSM2B,0,0,0,0,0,0
ACSM3,125,175,153,166,145,146
ACSM4,0,3,1,1,1,5
ACSM5,0,0,0,0,0,0
ACSM6,5,4,2,3,0,0
ACSS1,0,1,0,0,0,0
ACSS2,2989,3174,3036,7075,7621,7418
ACSS3,0,0,0,0,0,0
ACTA1,0,0,1,2,6,0
ACTA2,142,173,146,59,73,42
ACTB,102496,121162,123181,107820,113890,107917
ACTBL2,0,1,0,0,1,0
ACTC1,2,7,2,6,5,5
ACTG1,57168,64711,67631,51507,54745,53072
ACTG2,15,10,16,24,20,19
ACTL10,135,124,141,117,126,120
ACTL6A,3033,3321,3406,3749,4205,3860
ACTL6B,1,1,1,3,4,1
ACTL7A,14,9,1,12,9,6
ACTL7B,0,1,1,1,1,0
ACTL8,5,4,9,6,8,3
ACTL9,0,0,0,0,0,0
ACTN1,7832,8705,8572,10241,10921,10186
ACTN2,0,0,0,0,0,0
ACTN3,35,21,26,58,93,66
ACTN4,10141,11723,11756,11338,11920,11503
ACTR10,1057,1168,1094,1143,1274,1087
ACTR1A,2277,2456,2399,2943,3103,2802
ACTR1B,1480,1624,1533,1409,1549,1441
ACTR2,15008,16632,17070,16691,18758,17944
ACTR3,6595,7236,7117,7067,7867,7319
ACTR3B,1709,1774,1655,1156,1276,1263
ACTR3C,1646,1675,1383,2339,2565,2090
ACTR5,409,490,464,439,523,430
ACTR6,923,1041,1093,1031,1147,1102
ACTR8,2451,2639,2643,3037,3219,3094
ACTRT1,0,0,0,0,0,0
ACTRT2,0,0,0,0,0,0
ACTRT3,63,81,73,30,33,46
ACVR1,282,332,322,381,390,291
ACVR1B,1082,1226,1180,1371,1409,1312
ACVR1C,1,4,4,1,1,0
ACVR2A,312,322,289,251,314,309
ACVR2B,1635,1743,1593,1579,1729,1469
ACVRL1,4,6,9,5,12,12
ACY1,18,22,8,12,20,19
ACY3,0,0,1,0,1,6
ACYP1,228,220,212,332,345,301
ACYP2,270,231,213,162,212,221
ADA,1063,1323,1357,1451,1576,1469
ADA2,1,3,3,7,0,3
ADAD1,0,0,0,0,0,0
ADAD2,0,0,1,0,0,1
ADAL,560,576,575,450,494,533
ADAM10,5100,5564,5532,6435,6841,6810
ADAM11,315,291,293,268,338,286
ADAM12,14,28,26,10,22,13
ADAM15,7774,8498,8756,10436,11131,10767
ADAM17,3168,3354,3243,4098,4510,4260
ADAM18,0,0,0,0,0,0
ADAM19,0,0,0,0,0,0
ADAM2,0,0,0,0,0,0
ADAM20,406,330,321,408,453,458
ADAM21,17,14,16,3,7,6
ADAM22,220,215,187,278,355,290
ADAM23,155,188,156,165,159,216
ADAM28,2,2,1,0,0,1
ADAM29,0,0,0,0,0,0
ADAM30,0,0,0,0,1,0
ADAM32,25,20,28,11,20,11
ADAM33,1,4,1,1,2,5
ADAM7,0,0,0,0,0,0
ADAM8,170,157,141,266,227,239
ADAM9,7506,8221,8290,7429,7894,7732
ADAMDEC1,0,0,0,0,0,0
ADAMTS1,857,770,843,844,910,830
ADAMTS10,360,382,336,172,228,276
ADAMTS12,0,0,0,0,0,0
ADAMTS13,126,109,118,79,97,120
ADAMTS14,68,77,75,80,90,78
ADAMTS15,190,227,244,383,400,343
ADAMTS16,4,6,6,30,9,23
ADAMTS17,10,0,3,5,2,1
ADAMTS18,0,0,0,0,0,0
ADAMTS19,0,0,0,0,0,0
ADAMTS2,0,0,1,1,0,0
ADAMTS20,0,1,0,1,0,0
ADAMTS3,1,0,3,2,0,2
ADAMTS4,46,41,59,56,55,60
ADAMTS5,1415,1518,1487,746,710,725
ADAMTS6,180,201,194,112,105,113
ADAMTS7,81,117,132,84,77,70
