id,HC-1,HC-2,HC-3,HT-1,HT-2,HT-3
DEFA1,0,0,0,0,0,0
DEFA1B,0,0,0,0,0,0
DEFA3,0,0,0,1,0,0
DEFA4,0,0,0,0,0,0
DEFA5,0,0,0,0,0,0
DEFA6,0,0,0,0,0,0
DEFB1,0,0,0,0,1,1
DEFB103A,0,0,0,0,0,0
DEFB103B,0,0,0,0,0,0
DEFB104A,0,0,0,0,0,0
DEFB104B,0,0,0,0,0,0
DEFB105A,0,0,0,0,0,0
DEFB105B,0,0,0,0,0,0
DEFB106A,0,0,0,0,0,0
DEFB106B,0,0,0,0,0,0
DEFB107A,0,0,0,0,0,0
DEFB107B,0,0,0,0,0,0
DEFB108B,2,4,9,3,1,4
DEFB109B,0,0,0,0,0,0
DEFB110,0,0,0,0,0,0
DEFB112,0,0,0,0,0,0
DEFB113,0,0,0,0,0,0
DEFB114,0,0,0,0,0,0
DEFB115,0,0,0,0,0,0
DEFB116,0,0,0,0,0,0
DEFB118,0,0,0,0,0,0
DEFB119,0,0,0,0,0,0
DEFB121,0,0,0,0,0,0
DEFB123,0,0,0,0,0,0
DEFB124,0,0,0,0,0,0
DEFB125,0,0,0,0,0,0
DEFB126,0,0,0,0,0,0
DEFB127,0,0,0,0,0,0
DEFB128,0,0,0,0,0,0
DEFB129,0,0,0,0,0,0
DEFB130A,0,0,0,0,0,0
DEFB130B,0,0,0,0,0,0
DEFB131A,0,0,0,0,0,0
DEFB131B,32,25,41,16,13,28
DEFB132,0,0,0,0,0,0
DEFB134,0,0,0,0,0,0
DEFB135,0,0,0,0,0,0
DEFB136,0,0,0,0,0,0
DEFB4A,0,0,0,0,0,0
DEFB4B,0,0,0,0,0,0
DEGS1,3844,4361,4460,5018,5626,5294
DEGS2,67,56,79,65,55,29
DEK,8187,8304,7995,7127,8028,7672
DELE1,3125,3103,3164,3117,3308,3308
DENND10,1928,2047,2110,1613,1984,1674
DENND11,1240,1363,1249,1349,1545,1457
DENND1A,1853,1976,1815,1655,1616,1538
DENND1B,1632,1777,1556,1110,1231,1086
DENND1C,29,41,29,39,66,36
DENND2A,3,8,5,4,3,3
DENND2B,1169,1268,1224,955,1036,968
DENND2C,266,285,244,253,272,263
DENND2D,110,158,113,119,139,127
DENND3,1353,1385,1434,1564,1696,1532
DENND4A,3576,3745,3645,3853,4322,3920
DENND4B,2597,2671,2674,3456,3744,3475
DENND4C,3381,3630,3682,3667,4218,4071
DENND5A,6969,7634,7821,8504,9483,8843
DENND5B,5004,5406,5632,3302,3839,3377
DENND6A,1924,2175,2045,1806,2078,1923
DENND6B,152,143,134,64,111,85
DENR,1889,2080,2190,1738,1809,1733
DEPDC1,4352,4920,4971,3859,4197,4008
DEPDC1B,682,717,712,736,833,729
DEPDC4,107,146,152,149,168,115
DEPDC5,979,1001,927,1125,1267,1137
DEPDC7,831,801,725,684,706,730
DEPP1,6,13,35,58,108,69
DEPTOR,381,437,413,521,428,485
DERA,1253,1416,1410,1093,1270,1041
DERL1,2171,2446,2317,2702,3319,2991
DERL2,1617,1708,1710,2121,2317,2146
DERL3,134,123,138,386,447,396
DERPC,0,0,0,0,0,0
DES,333,317,395,555,552,556
DESI1,4372,4613,4296,3289,3591,3454
DESI2,2340,2531,2387,2318,2527,2268
DET1,527,496,509,340,342,262
DEUP1,1,2,1,0,0,1
DEXI,260,298,256,265,316,247
DFFA,4848,5191,5143,4311,4727,4427
DFFB,443,421,388,419,457,408
DGAT1,954,976,853,1151,1292,1152
DGAT2,394,419,422,744,883,802
DGAT2L6,0,0,1,1,5,2
DGCR2,1738,1964,2018,1796,1961,1709
DGCR6,247,313,330,295,302,303
DGCR6L,405,516,524,404,472,408
DGCR8,1365,1331,1182,1321,1360,1259
DGKA,2112,2108,2063,2105,2385,2112
DGKB,0,0,0,0,0,0
DGKD,7036,6971,6677,6367,6825,6371
DGKE,1176,1123,1150,981,1007,943
DGKG,0,0,0,0,1,0
DGKH,3183,3135,3154,2985,3542,3445
DGKI,21,2,6,3,1,3
DGKK,0,0,0,0,0,0
DGKQ,390,359,363,342,354,414
DGKZ,1176,1234,1244,1316,1440,1350
DGLUCY,60,51,70,21,22,27
DGUOK,1534,1750,1674,1472,1717,1436
DHCR24,12759,14314,14772,17393,18626,17256
DHCR7,8462,9659,9496,12428,13775,13269
DHDDS,1540,1718,1736,1785,1948,1700
DHDH,3,2,12,21,17,13
DHFR,1406,1614,1361,1369,1422,1426
DHFR2,133,112,115,23,75,59
DHH,6,10,3,11,3,9
DHODH,723,793,804,681,757,655
DHPS,1724,1782,1886,1916,2100,2009
DHRS1,966,1004,1060,1154,1102,1151
DHRS11,737,781,765,1039,1045,1106
DHRS12,189,199,169,143,142,150
DHRS13,734,817,855,585,562,657
DHRS2,6,10,27,20,13,17
DHRS3,1232,1417,1510,1912,2033,1947
DHRS4,3430,3858,3832,3058,3324,3313
DHRS4L2,1600,1645,1757,1414,1495,1418
DHRS7,775,918,899,1105,1095,970
DHRS7B,471,454,500,467,581,475
DHRS7C,1,2,6,0,2,1
DHRS9,1,0,0,0,2,0
DHRSX,0,0,0,0,0,0
DHTKD1,5735,6109,6572,6450,7206,6799
DHX15,8283,8926,9147,8753,9796,9288
DHX16,2229,2529,2393,3135,3215,3030
DHX29,1877,1995,1960,1572,1834,1761
DHX30,3635,3945,3853,4082,4648,4093
DHX32,1677,1746,1788,1371,1504,1330
DHX33,4927,5281,5491,5106,5527,4910
DHX34,920,828,682,667,816,791
DHX35,860,852,868,889,1013,911
DHX36,3834,3999,3962,3372,3738,3304
DHX37,1254,1573,1397,1161,1256,1182
DHX38,3297,3513,3686,3941,4557,4534
DHX40,4144,4094,4323,4616,5041,4699
DHX57,2068,2247,2344,2369,2668,2298
DHX58,12,23,20,21,23,36
DHX8,4836,5250,5284,6067,6703,6228
DHX9,9527,10691,10381,9493,10434,9756
DIABLO,507,651,560,763,790,717
DIAPH1,14465,15663,15845,17194,18808,17558
DIAPH2,1900,2011,1894,1903,2392,2140
DIAPH3,3597,3686,3450,4070,4424,4292
DICER1,9956,10057,10227,8745,9468,8842
DIDO1,5551,5618,5949,6136,6648,6290
DIMT1,561,609,602,537,531,492
DIO1,33,36,41,16,19,32
DIO2,422,379,415,180,195,156
DIO3,46,41,61,63,80,54
DIP2A,2867,2908,2701,3012,3244,2870
DIP2B,11575,12853,12620,11983,13378,12180
DIP2C,745,820,748,524,621,626
DIPK1A,971,964,1032,802,882,857
DIPK1B,282,293,255,197,261,232
DIPK1C,0,0,0,0,0,0
DIPK2A,480,539,567,435,539,504
DIPK2B,0,1,1,0,0,0
DIRAS1,7,1,4,3,14,5
DIRAS2,0,0,0,0,0,0
DIRAS3,16,21,11,8,1,9
DIS3,6894,7110,6872,7497,8278,7816
DIS3L,2441,2568,2487,1499,1677,1579
DIS3L2,1464,1522,1450,1427,1669,1440
DISC1,90,65,52,60,75,97
DISP1,804,868,789,734,853,770
DISP2,38,32,37,24,25,25
DISP3,1,0,0,4,1,0
DIXDC1,1397,1570,1459,1361,1610,1358
DKC1,5327,5986,6155,5317,6089,5755
DKK1,125,130,140,100,127,112
DKK2,0,0,0,0,0,0
DKK3,228,244,296,253,229,249
DKK4,8,6,4,2,6,4
DKKL1,24,24,17,31,25,12
DLAT,3178,3482,3636,3257,3577,3273
DLC1,16,25,43,23,14,17
DLD,2345,2476,2582,2465,2654,2353
DLEC1,85,104,87,79,79,68
DLEU7,1,7,14,1,7,1
DLG1,5914,6001,6003,5498,6146,5736
DLG2,145,161,110,67,59,54
DLG3,227,189,203,258,267,229
DLG4,1175,1039,1099,1575,1848,1741
DLG5,3973,4005,4178,4060,4518,4209
DLGAP1,36,24,34,12,13,17
DLGAP2,0,0,0,0,3,1
DLGAP3,2,1,1,1,7,6
DLGAP4,1288,1394,1418,1332,1445,1305
DLGAP5,3207,3366,3617,4129,4622,4508
DLK1,1,0,2,1,0,0
DLK2,152,154,148,137,146,124
DLL1,1,1,1,0,0,0
DLL3,0,0,2,0,0,1
DLL4,2,1,13,3,7,8
DLST,4340,4721,4502,5636,6256,5634
DLX1,75,87,102,68,92,74
DLX2,30,31,22,11,28,21
DLX3,33,43,39,103,101,100
DLX4,281,252,255,343,449,350
DLX5,0,0,0,0,0,0
DLX6,0,0,0,0,0,0
DMAC1,1360,1665,1605,1532,1604,1638
DMAC2,818,1009,997,1036,1247,1142
DMAC2L,585,532,566,409,444,429
DMAP1,517,493,535,565,600,488
DMBT1,11,12,7,15,20,12
DMBX1,315,334,347,425,449,415
DMC1,6,14,9,1,3,2
DMD,4900,4922,5212,4640,4995,4466
DMGDH,0,2,2,0,1,0
DMKN,1336,1483,1396,1309,1585,1367
DMP1,0,0,0,0,0,0
DMPK,2488,2243,2191,2557,2916,2706
DMRT1,0,1,0,0,0,0
DMRT2,0,0,0,0,0,0
DMRT3,0,0,0,0,0,0
DMRTA1,846,828,695,447,515,503
DMRTA2,3,1,3,5,2,4
DMRTB1,0,1,0,0,0,0
DMRTC1,0,0,0,0,0,0
DMRTC1B,0,0,0,0,0,0
DMRTC2,0,0,0,0,0,0
DMTF1,2890,3027,2831,2545,2761,2759
DMTN,143,143,189,175,188,163
DMWD,1518,1597,1406,1617,1686,1489
DMXL1,4174,4351,4257,3208,3803,3239
DMXL2,2400,2560,2387,2934,3272,2957
DNA2,1236,1157,1056,1165,1405,1194
DNAAF1,30,37,32,32,28,20
DNAAF10,776,886,812,656,902,737
DNAAF11,0,2,0,2,1,4
DNAAF2,657,710,696,573,700,629
DNAAF3,202,230,192,371,358,387
DNAAF4,86,116,104,78,79,68
DNAAF5,2258,2332,2383,2100,2043,2096
DNAAF6,0,0,0,0,0,2
DNAAF8,64,91,77,72,77,47
DNAAF9,766,764,738,735,829,711
DNAH1,202,170,134,133,212,172
DNAH10,5,3,9,4,11,3
DNAH11,518,476,423,413,542,456
DNAH12,24,16,20,11,6,4
DNAH14,1168,1133,997,857,938,822
DNAH17,527,539,523,527,616,617
DNAH2,49,54,62,65,47,73
DNAH3,3,1,2,7,1,1
DNAH5,17,20,36,12,25,13
DNAH6,51,56,86,17,23,32
DNAH7,45,38,48,15,25,42
DNAH8,0,0,0,0,0,0
DNAH9,2,4,0,1,2,1
DNAI1,11,7,2,35,26,32
DNAI2,0,0,0,0,0,0
DNAI3,20,10,8,1,2,2
DNAI4,82,59,93,68,93,70
DNAI7,11,18,9,21,23,32
DNAJA1,5071,5148,5408,5745,5872,5653
DNAJA2,2907,3105,3140,3075,3211,3118
DNAJA3,3573,3889,3976,3703,4123,3836
DNAJA4,31,37,31,41,48,44
DNAJB1,1982,2278,2325,2752,2806,2879
DNAJB11,2801,2954,3168,4972,5236,5173
DNAJB12,1578,1697,1717,1485,1451,1386
DNAJB13,127,99,109,149,176,154
DNAJB14,1378,1334,1286,1214,1155,1258
DNAJB2,912,935,966,1021,1046,1170
DNAJB4,2154,2181,2217,2679,3128,2653
DNAJB5,136,182,194,406,474,477
DNAJB6,3557,3950,3575,3272,3815,3765
DNAJB7,60,54,62,31,41,36
DNAJB8,5,7,2,0,4,0
DNAJB9,315,351,336,394,521,446
DNAJC1,1081,1196,1187,1012,1229,1079
DNAJC10,6843,7371,7152,7556,8973,8246
DNAJC11,3421,3447,3268,3198,3407,2868
DNAJC12,774,775,855,703,744,736
DNAJC13,6967,7260,7210,5493,6259,5652
DNAJC14,2303,2480,2429,2736,2772,2677
DNAJC15,975,994,965,733,913,786
DNAJC16,1642,1687,1627,1295,1441,1203
DNAJC17,428,410,352,424,438,444
DNAJC18,389,404,475,359,433,370
DNAJC19,550,642,622,544,752,590
DNAJC2,1077,1104,1037,892,981,847
DNAJC21,5807,6079,6020,6547,7065,7089
DNAJC22,489,499,477,486,555,504
DNAJC24,365,298,327,299,315,334
DNAJC25,499,544,540,604,655,540
DNAJC25-GNG10,0,0,0,0,0,0
DNAJC27,272,276,318,202,222,212
DNAJC28,55,51,46,55,35,51
DNAJC3,2304,2378,2372,3815,4210,4218
DNAJC30,283,339,273,289,308,248
DNAJC4,478,503,538,531,651,519
DNAJC5,2004,2068,2164,1855,1985,1978
DNAJC5B,5,0,0,3,0,0
DNAJC5G,20,9,20,5,13,4
DNAJC6,2342,2459,2482,2853,3273,3268
DNAJC7,2366,2682,2599,2525,2850,2853
DNAJC8,4155,4345,4706,4440,4729,4333
DNAJC9,735,735,757,816,946,818
DNAL1,575,548,543,496,600,550
DNAL4,158,187,202,170,200,221
DNALI1,96,75,102,78,84,74
DNASE1,620,458,407,304,325,276
DNASE1L1,683,773,746,967,1084,1082
DNASE1L2,82,86,73,51,85,74
DNASE1L3,4,3,1,8,2,1
DNASE2,1358,1552,1668,1931,2011,1907
DNASE2B,1,5,1,0,0,0
DND1,0,0,0,0,0,0
DNER,163,149,144,185,113,122
DNHD1,5645,5082,4714,5125,5671,5342
DNLZ,98,120,161,170,170,156
DNM1,445,410,385,572,543,473
DNM1L,5941,6346,6322,6075,6772,6316
DNM2,6671,7389,7369,8705,9107,8502
DNM3,308,310,273,376,392,393
DNMBP,2442,2651,2501,2302,2550,2534
DNMT1,9502,10037,10091,11834,12987,12001
DNMT3A,1057,1073,1140,1302,1478,1352
DNMT3B,818,917,903,1292,1223,1162
DNMT3L,1,8,1,2,2,5
DNPEP,747,862,939,900,1002,935
DNPH1,1450,1601,1593,1545,1750,1510
DNTT,0,0,0,0,0,0
DNTTIP1,670,723,735,847,843,875
DNTTIP2,3722,3849,3769,3789,3919,4034
DOC2A,76,57,125,125,139,119
DOC2B,0,0,0,0,0,0
DOCK1,4056,4153,4105,4404,4865,4534
DOCK10,6,7,5,5,6,5
DOCK11,598,583,677,981,983,960
DOCK2,38,25,33,12,15,7
DOCK3,47,53,55,58,64,43
DOCK4,334,318,373,441,537,519
DOCK5,13635,13905,13883,12159,12911,11851
DOCK6,1875,2046,1903,2496,2550,2426
DOCK7,3131,3308,3305,2994,3738,3284
DOCK8,4,7,5,15,23,24
DOCK9,3001,3312,3266,2836,3331,3088
DOHH,311,316,335,385,381,415
DOK1,495,558,617,401,391,373
DOK2,0,0,1,0,0,2
DOK3,211,218,167,435,494,457
DOK4,691,722,760,827,891,829
DOK5,0,0,0,0,0,0
DOK6,0,0,0,0,1,0
DOK7,101,92,71,73,88,75
DOLK,383,366,385,275,318,285
DOLPP1,515,576,645,768,823,750
DONSON,2094,2251,2091,2639,2881,2822
DOP1A,867,957,940,758,829,838
DOP1B,436,444,472,629,680,586
DOT1L,3076,3067,2876,4258,4591,4518
DPAGT1,2101,2347,2251,2887,3244,2799
DPCD,483,542,543,711,679,674
DPEP1,0,2,0,0,2,1
DPEP2,18,15,12,11,8,27
DPEP2NB,1,0,1,0,1,1
DPEP3,0,0,0,0,0,0
DPF1,51,85,68,80,97,93
DPF2,1280,1372,1438,1603,1755,1633
DPF3,65,77,66,68,83,96
DPH1,1387,1382,1391,1299,1388,1390
DPH2,1068,1155,1297,1484,1723,1514
DPH3,518,647,627,548,594,537
DPH5,2942,3252,3282,2165,2330,2060
DPH6,222,320,308,251,265,256
DPH7,1129,1042,1035,1088,1155,1127
DPM1,1451,1538,1491,1547,1708,1661
DPM2,1387,1627,1550,2023,2065,2004
DPM3,731,805,813,1108,1330,1162
DPP10,0,0,0,0,0,0
DPP3,1197,1449,1454,1752,1818,1797
DPP4,0,0,0,0,0,0
DPP6,0,0,2,0,3,1
DPP7,2080,2333,2333,2529,2640,2447
DPP8,3839,4038,4078,4510,4900,4512
DPP9,2801,3218,3185,4247,4618,4323
DPPA2,4,5,7,4,11,4
DPPA3,0,0,0,0,0,0
DPPA4,0,0,0,0,0,0
DPPA5,0,0,0,0,0,0
DPRX,0,0,1,2,2,0
DPT,0,0,0,0,0,0
DPY19L1,2641,2783,2846,2912,3493,3151
DPY19L2,0,0,0,0,0,0
DPY19L3,619,736,631,543,623,683
DPY19L4,1413,1480,1345,1237,1368,1269
DPY30,1728,1831,1890,1891,2113,2013
DPYD,2121,2057,2111,2220,2386,2247
DPYS,0,0,0,0,0,0
DPYSL2,8089,8618,9200,8964,9456,9148
DPYSL3,0,0,0,0,0,0
DPYSL4,35,34,17,40,45,29
DPYSL5,0,0,0,0,0,1
DQX1,66,79,51,192,146,190
DR1,7184,7597,7364,6609,7621,7189
DRAM1,2070,2138,2335,2123,2403,2289
DRAM2,1902,1897,1939,1985,2279,2199
DRAP1,1107,1175,1107,1612,1791,1634
DRAXIN,1,2,0,2,5,2
DRC1,5,2,4,5,1,1
DRC3,105,83,111,67,100,82
DRC7,3,5,1,3,4,3
DRD1,0,6,1,1,0,1
DRD2,0,0,1,0,0,0
DRD3,1,0,0,0,0,0
DRD4,64,44,40,37,64,36
DRD5,0,0,0,0,0,0
DRG1,2267,2514,2491,2691,2998,2576
DRG2,1185,1283,1338,1236,1377,1283
DRGX,1,0,0,0,0,0
DRICH1,31,23,12,15,13,10
DROSHA,7529,8029,7586,7837,8443,7754
DRP2,52,35,34,49,43,85
DSC1,0,0,0,0,0,0
DSC2,30,36,56,81,47,78
DSC3,0,0,0,0,0,0
DSCAM,0,0,0,0,0,0
DSCAML1,1,1,1,1,0,0
DSCC1,570,520,555,491,570,559
DSE,5868,6087,6206,7174,7982,7483
DSEL,2209,2214,2357,1465,1756,1568
DSG1,0,0,0,0,0,0
DSG2,4884,5236,5445,4905,5755,5303
DSG3,0,0,0,0,0,0
DSG4,0,0,0,0,0,0
DSN1,1711,1706,1806,1758,1920,1751
DSP,39733,41651,43811,35367,38662,36607
DSPP,0,0,0,0,0,0
DST,21242,22336,23109,20313,23441,21613
DSTN,7989,8668,8661,8444,9375,8646
DSTYK,2746,3087,2948,3413,3734,3551
DTD1,765,886,975,798,774,803
DTD2,628,619,661,297,423,332
DTHD1,0,0,0,0,0,0
DTL,4747,5027,5217,6517,7188,6644
DTNA,698,694,647,768,719,727
DTNB,1267,1289,1247,1629,1634,1541
DTNBP1,739,862,876,746,799,721
DTWD1,1135,1250,1084,1222,1535,1378
DTWD2,449,495,492,417,517,411
DTX1,0,0,0,0,0,1
DTX2,399,354,343,511,522,436
DTX3,404,419,383,364,400,363
DTX3L,1145,1200,1189,1195,1353,1257
DTX4,1709,2120,2049,1776,1935,1881
DTYMK,985,1090,1094,1132,1209,1191
DUOX1,95,107,105,89,90,100
DUOX2,1,0,0,1,0,0
DUOXA1,1,0,0,1,2,5
DUOXA2,0,0,0,0,0,1
DUS1L,2155,2432,2342,2437,2739,2627
DUS2,1136,1270,1334,1239,1527,1311
DUS3L,768,838,884,705,776,742
DUS4L,90,123,109,51,67,48
DUS4L-BCAP29,63,63,45,57,89,59
DUSP1,2442,2695,2824,2518,2766,2809
DUSP10,175,138,184,258,282,277
DUSP11,1901,1969,1815,1771,1837,1717
DUSP12,947,985,1066,856,839,834
DUSP13,11,13,10,24,30,28
DUSP14,1232,1411,1302,1222,1440,1226
DUSP15,0,1,0,0,1,1
DUSP16,2312,2613,2477,2703,2877,2588
DUSP18,117,130,136,104,132,78
DUSP19,135,134,184,147,134,169
DUSP2,216,266,248,170,242,213
DUSP21,0,0,0,0,0,4
DUSP22,971,1004,1029,1154,1175,1144
DUSP23,0,2,0,1,0,0
DUSP26,0,0,0,0,0,0
DUSP28,169,198,157,133,154,156
DUSP29,33,34,16,17,28,30
DUSP3,3462,3643,3771,4098,4326,4138
DUSP4,13,16,12,50,43,50
DUSP5,112,97,122,301,330,323
DUSP6,17,8,11,16,16,8
DUSP7,1415,1637,1660,1666,1926,1758
DUSP8,265,316,312,313,276,324
DUSP9,381,433,464,738,770,758
DUT,1711,1815,1732,1735,1901,1856
DUX4,0,0,0,0,0,0
DUXA,0,0,0,0,0,0
DUXB,4,2,1,4,1,2
DVL1,4642,5193,5249,5200,5567,5373
DVL2,3484,3704,3792,4332,4457,4385
DVL3,4253,4308,4166,4098,4489,4131
DXO,757,736,744,835,961,930
DYDC1,0,0,0,0,0,0
DYDC2,0,0,0,0,0,0
DYM,2848,2832,2902,3011,3559,3142
DYNAP,1,0,0,0,0,0
DYNC1H1,66212,69807,72458,74798,79812,76063
DYNC1I1,1,0,0,0,0,0
DYNC1I2,2388,2690,2676,2502,2816,2661
DYNC1LI1,874,900,939,792,850,872
DYNC1LI2,6623,6797,6788,8506,8988,8813
DYNC2H1,9884,9905,9284,8614,9596,9012
DYNC2I1,2308,2227,2096,1826,1806,1641
DYNC2I2,2100,2329,2389,2369,2385,2362
DYNC2LI1,489,419,510,365,497,367
DYNLL1,3037,3387,3598,3748,4042,3752
DYNLL2,2411,2533,2800,2771,2834,2728
DYNLRB1,760,947,899,1149,1068,1043
DYNLRB2,5,11,9,8,4,6
DYNLT1,1161,1242,1228,1071,1152,1083
DYNLT2,50,35,22,15,11,37
DYNLT2B,98,82,61,66,66,73
DYNLT3,994,1075,1092,1064,1240,1199
DYNLT4,46,39,22,21,22,47
DYNLT5,0,0,0,0,0,0
DYRK1A,4048,4316,4334,4950,5357,5056
DYRK1B,270,311,256,275,270,273
DYRK2,2611,2698,2796,2774,3276,2987
DYRK3,1622,1789,1857,1968,2241,2173
DYRK4,533,568,595,794,929,779
DYSF,52,83,39,97,104,105
DYTN,0,0,0,0,0,0
DZANK1,124,110,73,118,115,142
DZIP1,0,0,0,0,0,0
DZIP1L,1238,1204,1036,1104,1169,1158
DZIP3,258,323,354,180,268,235
E2F1,1877,2051,2158,2499,2853,2833
E2F2,1572,1599,1575,1975,2290,2174
E2F3,2422,2658,2647,2316,2631,2453
E2F4,1536,1686,1601,1844,1922,1861
E2F5,69,90,71,40,44,58
E2F6,971,927,975,789,841,813
E2F7,1183,1101,1204,1953,2253,2127
E2F8,377,440,403,621,650,603
E4F1,847,870,852,795,958,870
EAF1,1429,1575,1674,1826,1891,1895
EAF2,247,223,264,334,389,345
EAPP,809,760,872,882,913,900
EARS2,2413,2490,2664,2854,3115,2822
EBAG9,457,540,558,452,435,369
EBF1,1,1,0,0,0,0
EBF2,0,0,0,1,0,0
EBF3,0,0,0,0,0,0
EBF4,16,10,2,1,3,1
EBI3,5,8,16,28,24,21
EBLN1,0,0,0,0,0,0
EBLN2,134,103,93,75,125,122
EBNA1BP2,2264,2671,2852,2092,2357,2193
EBP,9383,10475,10789,14154,14973,14499
EBPL,1434,1537,1463,1346,1538,1307
ECD,1297,1308,1149,1346,1479,1426
ECE1,8033,8244,8664,8916,9626,9224
ECE2,0,0,0,0,0,0
ECEL1,8958,9617,10004,9884,10394,10057
ECH1,4504,4925,4901,5766,6224,6089
ECHDC1,2151,2365,2374,2199,2484,2359
ECHDC2,772,772,749,580,556,463
ECHDC3,22,22,18,10,8,19
ECHS1,3548,4199,4205,4289,4960,4631
ECI1,1956,2088,2152,2010,2099,1975
ECI2,4266,4651,4771,5095,5666,5237
ECM1,789,801,787,1124,1227,1235
ECM2,496,465,463,325,373,300
ECPAS,15684,16740,16599,12989,14263,13184
ECRG4,0,0,0,0,0,0
ECSCR,0,0,0,1,0,1
ECSIT,1259,1407,1502,1723,1619,1591
ECT2,8491,9286,8895,7610,8672,7885
ECT2L,29,9,18,27,15,6
EDA,13,13,20,7,15,13
EDA2R,197,194,193,176,165,117
EDAR,37,28,12,30,37,34
EDARADD,0,3,1,0,1,1
EDC3,2413,2570,2579,3366,3779,3492
EDC4,2555,2566,2665,3224,3489,3290
EDDM13,307,319,250,180,203,199
EDDM3A,0,0,0,2,1,0
EDDM3B,0,0,0,0,0,0
EDEM1,2519,2649,2694,2589,2935,2757
EDEM2,36,32,29,31,44,46
EDEM3,4392,4971,4707,4006,4591,4369
EDF1,2904,3169,3146,3371,3403,3484
EDIL3,130,156,168,140,155,171
EDN1,128,180,170,108,120,87
EDN2,8,4,13,27,16,22
EDN3,6,7,0,0,0,0
EDNRA,48,53,35,34,25,21
EDNRB,0,0,0,0,0,0
EDRF1,2331,2434,2562,2358,2690,2542
EEA1,2681,2704,2764,2427,2821,2576
EED,975,997,951,1091,1029,1035
EEF1A1,373159,399888,412290,404314,435655,427246
EEF1A2,537,657,629,1110,1145,1195
EEF1AKMT1,78,80,99,57,61,70
EEF1AKMT2,846,867,771,611,740,672
EEF1AKMT3,526,535,614,744,795,771
EEF1AKMT4,402,425,398,633,646,697
EEF1AKMT4-ECE2,0,0,0,0,0,0
EEF1B2,6840,8233,8089,7023,7537,7417
EEF1D,10531,11855,11659,10182,10886,10182
EEF1E1,1868,1952,2082,1905,2173,1937
EEF1G,44122,49214,50008,51776,55378,53229
EEF2,117813,130040,135104,147018,154810,152090
EEF2K,8094,8843,8805,6449,7264,6560
EEF2KMT,226,237,215,212,197,149
EEFSEC,819,905,968,696,691,713
EEPD1,2,5,3,20,16,15
EFCAB1,0,1,0,0,0,0
EFCAB10,10,20,16,10,22,25
EFCAB11,822,957,971,892,994,972
EFCAB12,75,44,52,60,45,55
EFCAB13,775,778,620,615,570,536
EFCAB14,4863,5258,5354,5317,6019,5543
EFCAB2,1223,1098,972,1050,1240,1108
EFCAB3,0,2,1,0,1,0
EFCAB5,48,41,42,32,24,27
EFCAB6,2,13,11,5,11,5
EFCAB7,559,548,519,533,639,576
EFCAB8,909,1070,1104,1019,1230,1023
EFCAB9,26,28,13,5,16,11
EFCC1,0,0,1,0,0,0
EFEMP1,7851,8460,8539,10235,10922,10241
EFEMP2,149,94,99,164,157,156
EFHB,3,5,0,1,2,2
EFHC1,1399,1372,1407,1446,1865,1628
EFHC2,14,13,5,5,7,3
EFHD1,25,34,42,81,86,47
EFHD2,2700,2916,3020,3167,3459,3488
EFL1,1570,1665,1738,2060,2251,2225
EFNA1,3221,3553,3687,4762,4931,5167
EFNA2,39,55,48,35,77,38
EFNA3,465,542,508,703,707,673
EFNA4,245,328,315,291,306,337
EFNA5,869,917,958,983,1028,934
EFNB1,106,123,146,224,191,210
EFNB2,68,54,75,111,120,115
EFNB3,4,0,4,0,1,1
EFR3A,2417,2591,2505,2200,2442,2164
EFR3B,676,733,744,855,854,909
EFS,0,0,0,0,0,0
EFTUD2,8759,9450,9491,10388,11428,10540
EGF,4,8,6,3,9,6
EGFL6,0,0,0,0,0,0
EGFL7,867,971,1058,1107,1281,1254
EGFL8,402,395,374,376,399,456
EGFLAM,343,330,332,255,244,244
EGFR,10118,10766,10717,9382,10271,9517
EGLN1,3398,3510,3512,3203,3715,3504
EGLN2,665,764,749,918,961,1017
EGLN3,246,251,297,308,375,352
EGR1,6,17,16,26,14,27
EGR2,9,5,12,2,14,4
EGR3,5,0,0,0,1,0
EGR4,0,0,1,0,0,0
EHBP1,2656,2803,2738,2568,2869,2773
EHBP1L1,3158,3370,3525,3771,4030,3903
EHD1,1139,1291,1288,1470,1460,1487
EHD2,1931,2056,2162,2485,2710,2591
EHD3,0,0,0,0,0,0
EHD4,1351,1332,1479,1687,1776,1725
EHF,2,1,5,15,12,11
EHHADH,597,714,515,534,622,622
EHMT1,2690,2652,2813,2179,2267,2106
EHMT2,3027,3337,3289,3473,3768,3472
EI24,5285,5644,5507,5792,6540,5753
EID1,2764,3024,3010,2062,2121,2020
EID2,468,509,552,325,349,366
EID2B,166,173,149,161,146,143
EID3,335,363,272,405,435,404
EIF1,13998,15348,15389,16915,18394,17751
EIF1AD,1242,1337,1381,1791,1912,1742
EIF1AX,7354,8278,7897,5730,6612,6386
EIF1AY,0,0,0,0,0,0
EIF1B,800,792,868,933,965,989
EIF2A,7292,7741,7779,6305,6892,6357
EIF2AK1,12491,13264,13790,15229,16944,16007
EIF2AK2,8709,9135,8792,7818,8686,8201
EIF2AK3,2464,2335,2361,3204,3459,3130
EIF2AK4,2864,3139,3138,2948,3263,3268
EIF2B1,3166,3286,3481,3509,3902,3498
EIF2B2,1586,1653,1676,1984,2158,1907
EIF2B3,1131,1068,1067,1349,1492,1315
EIF2B4,1376,1466,1478,1658,1789,1647
