t_test,log2_fold_changes,p_values,fdr,significance
-1.7401471516933191,0.1966853729508249,0.15681106727691269,0.22277533196668892,ns
2.516165091347613,-0.207603113610205,0.0656244344774068,0.10970971727186352,ns
0.7476946074122482,-0.057139664144538305,0.49620498041054856,0.5681083371026114,ns
-5.875987110266782,0.17365676966300114,0.004190853103607745,0.01487701726270066,*
-3.321187484868416,0.20188336471478463,0.029345970464258908,0.05852913817739042,ns
3.8495183852808483,-0.13840332225804763,0.018310120114812308,0.04120958106194027,*
-9.761445831811233,0.09434907421464622,0.0006170270346355999,0.004931101782530472,**
-1.7438079626678122,0.17974642318282363,0.15614163291656358,0.22205678597613537,ns
0.1527745777863377,-0.007764424918819124,0.8859728258282136,0.9088606660954159,ns
-4.587637825758248,0.21863303076806195,0.010124862748849441,0.02706760593015529,*
2.284841274946509,-0.03422461173591351,0.08433513854785565,0.1346451447177949,ns
1.3297249439037662,-0.07750612066896867,0.2543696977170452,0.32993762597138143,ns
-2.3999599494571218,0.2135385316207139,0.07435955706686634,0.12138469601665174,ns
-8.711641709855444,0.6421568306368002,0.0009561650473901634,0.00616393389776515,**
-1.2481191982336635,0.04604701309520376,0.2800588535272677,0.3576993251784143,ns
5.088760026478341,-0.15179229730858168,0.007037542960949738,0.02110476606870349,*
-8.509381376757858,0.474937492563974,0.0010461547991357672,0.006432851161654577,**
3.271452325762769,-0.24207570530040456,0.03074707808757671,0.06064007067272074,ns
-1.5775701384133434,0.0411513092440261,0.18980051395185504,0.25978971938803563,ns
-12.267163027095181,0.45105128259376315,0.0002536153827643608,0.003126092535129808,**
3.9005301480561454,-0.1935843226489986,0.01753360416389648,0.03979192976203379,*
-5.049285463762779,0.0850946089046829,0.007234714652831301,0.021488143701136858,*
-6.251938621470582,0.3012107922945484,0.003337528824009015,0.01282905319445958,*
-1.218957919158781,0.11332930297508348,0.2898281881103192,0.3672006072604717,ns
0.02401109953131645,-0.0003991769395725875,0.981993838022475,0.9865176661673629,ns
-3.1275546585646232,0.300788124152485,0.035268374711644956,0.0675074282098132,ns
-1.802409688867212,0.12167177830354792,0.1458289551389999,0.20973539043192402,ns
-2.090264954984489,0.15086484170072367,0.10479933051114931,0.15999617754746287,ns
-5.104756457709059,0.20784688538969842,0.006959511480773101,0.020926345867540334,*
-1.1417700721401567,0.09958000919295307,0.31725735955893913,0.3948982646961334,ns
-0.6421667275797339,0.06349164450035882,0.5557188974311094,0.6222095145712577,ns
-5.456140470752237,0.2783485077229608,0.005484194659152536,0.017759902429933538,*
-1.2765847880320813,0.042805773242628575,0.270826146952396,0.3475910569188292,ns
-9.639983214958148,0.3169234234857079,0.0006476125897304361,0.005053447249704847,**
-12.932395713131656,0.48587815925462685,0.00020621447059050979,0.0028423150280488777,**
-5.118323063020288,0.12252641962110378,0.0068941585166253415,0.020803425699290504,*
-4.602828912074776,0.18673408495542798,0.010009538506056103,0.02690063473502578,*
1.5698763959848994,-0.05563578688249837,0.1915302576510225,0.2616294749926495,ns
15.744615960062633,-0.5431355065257497,9.506763732310743e-05,0.00207315354819605,**
3.5326298656195463,-0.12014330200761858,0.02417323242853173,0.05061802434396925,ns
3.690862938208394,-0.3209922828044167,0.021002837313113542,0.045544659963936814,*
-1.5128707262119716,0.06082474766750323,0.20486121113560177,0.27674392814026205,ns
-1.2894328741726757,0.1070728104176224,0.2667553562138134,0.3431598451578099,ns
9.620066505137974,-0.17064236946453004,0.000652805910731559,0.005076632206766675,**
1.118457355405357,-0.17763313019055582,0.32600338139117324,0.4037271365529873,ns
-3.301255922530691,0.13678081184585444,0.029898212583688487,0.05938632294871827,ns
1.595295703817775,-0.18189059409190333,0.185876433674986,0.2553918775921387,ns
-3.9838400102461073,0.17961627422622772,0.01634866163764371,0.03776955276558929,*
-14.389798691549089,0.6469459390517578,0.0001355431984265609,0.002404567953506497,**
-1.9214482381703897,0.12867572339625966,0.1270594980219819,0.187352160087472,ns
-10.434855134267433,1.0483030475287798,0.00047651057395696364,0.004326189815384171,**
-2.654143466065409,0.12286172549968555,0.056735870894254754,0.09764070678701227,ns
-0.4147068236948685,0.031062707113610255,0.6996330015317557,0.751377910008425,ns
0.08004405260918916,-0.005356380698862129,0.9400469582341671,0.9540308696048906,ns
-0.1544020302386288,0.013102580326689761,0.8847700481374505,0.9078148065749073,ns
4.853305289390028,-0.11738512613333718,0.008319488161418151,0.023694881202455335,*
-2.7593023797128624,0.11626281378730141,0.05088602950925108,0.08985254371992107,ns
22.58719238192678,-0.6175738050521247,2.2753511149171953e-05,0.0013292065905122134,**
-0.21322655286398795,0.014899041254885503,0.8415769848390551,0.8726618102109656,ns
-1.5942392679366815,0.09289276696461446,0.18610794119131924,0.2556385774280082,ns
-0.9317976945942542,0.07934386052789044,0.40418884035121944,0.48015117882967817,ns
-1.7045387896901127,0.0502001830417691,0.1634831997101509,0.23007253477619052,ns
-0.7301935625091333,0.05617622899842001,0.5057371445033054,0.5766737522043178,ns
-4.783259200498434,0.4483058573169405,0.008754620850027078,0.024492881974921114,*
14.351493991863926,-0.2692213864977844,0.00013697293797605115,0.002404567953506497,**
-1.23316684540723,0.037854860873730356,0.2850282949184105,0.3624664727214026,ns
-11.437285132106002,0.22748403031758624,0.00033346024516011703,0.003575255938450702,**
-5.155004625293683,0.29589400425685275,0.006721168898561021,0.020392276916578182,*
