t_test,log2_fold_changes,p_values,fdr,significance
5.876181341126459,-0.17366091871224665,0.004190347188087939,0.014875732517712183,*
-3.849548272805416,0.13839949114920014,0.018309653224130595,0.041208530256742135,*
9.760619100790432,-0.09435274444043751,0.0006172290784744763,0.004930979323648058,**
4.587798087846006,-0.2186370746989419,0.010123637720936897,0.02706600818640775,*
8.711562439669132,-0.6421610643260545,0.0009561983948487446,0.00616398595402913,**
-5.0884463255187065,0.15178816676145335,0.007039083849721173,0.02110532138849671,*
8.509627709985642,-0.4749419377463293,0.0010460389654046486,0.006432138895025966,**
12.266847304355183,-0.4510554908330162,0.0002536409298026969,0.003126005624873265,**
-3.9004500445564148,0.19358022691221333,0.017534792196253524,0.03979462596183758,*
5.049547532449161,-0.08509833522972654,0.007233383597157701,0.021487248963388435,*
6.251842946226346,-0.30121495248503205,0.003337717261317175,0.012829777524458715,*
5.10482368440363,-0.207850657533017,0.006959185778377371,0.020927253564527074,*
5.456242865182568,-0.2783526258430795,0.005483823842661703,0.017758805825135168,*
9.63988477081411,-0.31692756868081773,0.0006476381328733111,0.005053646567826757,**
12.93227362003266,-0.4858823569297881,0.00020622210641318918,0.0028424202748508647,**
5.118136761476466,-0.12253056522331729,0.00689505088501686,0.020805724154617098,*
4.602775221728778,-0.1867381866784843,0.01000994328567282,0.026901722580245705,*
-15.744147020470946,0.5431333951447854,9.507881418835103e-05,0.0020733972836931122,**
-3.6908325119832788,0.3209890108823661,0.021003397456654544,0.04555025568116947,*
-9.620394728574214,0.1706390769558146,0.0006527199078085669,0.005076296333740276,**
3.9840092368204907,-0.1796203951594295,0.01634635438747273,0.037764222432806846,*
14.389689044978434,-0.646950216857828,0.00013554726442432716,0.0024038774607454917,**
10.43490644744525,-1.048307581620032,0.00047650147832556747,0.0043264208574809145,**
-4.853144625060875,0.11738125969320734,0.008320455719954484,0.023695471680332418,*
-22.58843488318889,0.617569743825304,2.2748537693950297e-05,0.0013294973223457846,**
4.7832443529781905,-0.4483100629893322,0.008754715978889114,0.024493148117799277,*
-14.3512022950755,0.26921766489006416,0.00013698389759128404,0.0024038774607454917,**
11.437843654024698,-0.2274880018838461,0.0003333967292191703,0.003574574940495617,**
5.154970689771579,-0.29589799265096284,0.006721326474083213,0.020392755006584894,*
6.267677928875885,-0.3325349505173447,0.003306706718139488,0.01273751260639838,*
